Title,Cited by,Link,Abstract
"Implications of the financial crisis for the US-China rivalry",9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954854580&doi=10.1080%2f00396338.2010.506817&partnerID=40&md5=04457243f36c1bd114371d7a253195c8",[No abstract available]
"Missile defence: Towards practical cooperation with Russia",7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954843637&doi=10.1080%2f00396338.2010.506825&partnerID=40&md5=4a1a5716c3a13ba28e8182b3aac8f6b3",[No abstract available]
"American decline revisited",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954850127&doi=10.1080%2f00396338.2010.506836&partnerID=40&md5=18ff9dd0f7ef3092e9b25ea3ee26c0bc",[No abstract available]
"Budget crunch: Implications for European defence",6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954841654&doi=10.1080%2f00396338.2010.506826&partnerID=40&md5=7b039a6ade2385fa492efaf025c5c5e5",[No abstract available]
"Turkey's moment of inflection",5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953475367&doi=10.1080%2f00396338.2010.494874&partnerID=40&md5=ab7628142bd30c1d2875435fdb0674dd","Turkey today imagines itself as a major contender on the global scene. It is the world's seventeenth-largest economy and has used its geostrategic position and active diplomacy to assume membership in the UN Security Council for the first time in almost 50 years, to become a member of the G20 and to take on a visible role in international disputes. But it faces daunting obstacles at home and abroad, the two most important being the Kurdish problem and the state of civil-military relations. How the ruling Justice and Development Party (AKP) handles these two challenges will determine whether the current improvement in the Turkish political economy proves to be fleeting. Turkey is at an inflection moment. If it can resolve these problems it will find that many of the obstacles to European membership a.nd continuing development will rapidly recede. Failure will mean a return to nationalist and autarchic policies as well as continual violence and instability."
"Lives and statistics: Are 90% of war victims civilians?",26,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953473395&doi=10.1080%2f00396338.2010.494880&partnerID=40&md5=b995b380ca22fcf917f772d663a2be43","It has become a commonplace to say that war has changed radically since the early twentieth century to the point where civilians now comprise some 80 or 90% of war victims. This proposition has been supported by many writers and academics, some United Nations agencies, and the European Union in its European Security Strategy. Yet it rests on shaky foundations. It is possible that in some particular conflicts nine out of ten deaths are of civilians, but the proposition does not hold up as a generalisation about all war in the past two decades. There is persuasive evidence that certain wars have had civilian death tolls far lower than 90%. The proposition, intended to alert the world to the importance of protecting civilians, has probably had the unintended effect of reinforcing cynicism about efforts to limit the human costs of war."
"The vatican and the white house",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953460096&doi=10.1080%2f00396338.2010.494877&partnerID=40&md5=119fdef5c89555ba9b29ed8ca144eec8","While George W. Bush was president, Washington and the Vatican were in agreement on most 'culture of life' issues and at odds over the war in Iraq. With the 2008 election of Barack Obama, the set of agreements and disagreements has been reversed. There is now substantial common ground on foreign policy, immigration and fighting poverty, but none on gay rights, stem-cell research or abortion. But the Vatican sees Obama as the most secular president in many years. In the Holy See's unofficial view, Obama lacks a religious vision and might prove to be a cultural adversary. But this picture of the new president as ideologically suspect or supportive of moral relativism is false and misleading. To Obama, relativism means putting back together a fragmented American society, and promoting unity in diversity. Being a relativist is not a handicap but an opportunity: a necessary tool for exercising leadership. This has required a revolutionary rethinking of the Vatican's approach to the White House. The relationship has been transformed from an ideological alliance into a pragmatic one."
"Hanging Together",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953462028&doi=10.1080%2f00396338.2010.494869&partnerID=40&md5=4cbbaece6095f7ab7b37f7a546c7ef19",[No abstract available]
"Ambition and fear: Iran's foreign policy and nuclear programme",4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953437180&doi=10.1080%2f00396338.2010.494879&partnerID=40&md5=e260dd4a21d58deb2888e23e1a90eb85","As the West's nuclear dispute with Iran continues to dominate world headlines, it is easy to forget that Iran's relations with the world are multifaceted and complex. Within its region, Iran's policies are shaped by instabilities in neighbouring countries and the Middle East in general, questions of Persian Gulf security, the Israeli-Palestinian conflict and various contests for power and resources. Iran's relations with Europe, as well as with Russia, China, India and other actors in Asia, Africa and Latin America, have long been shaped by economic interests on the one hand and, particularly in the case of Europe, political differences on the other, in addition to the growing influence of the nuclear conflict. Iran's bilateral relations with the United States are themselves far more intricate than they sometimes appear. Commentators trying to find a single doctrine or underlying driver to explain Iran's regional and international policies, as well as its nuclear programme, have traded various possibilities, including Persian imperialism, the export of the revolution, or the religious zeal of Iran's ruling elite. None of these explanations are convincing. Rather, Iran's regional, international and even nuclear policies are driven by a combination of ambition and fear."
"Strategic thoughts for defence planners",15,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953401845&doi=10.1080%2f00396338.2010.494883&partnerID=40&md5=70ff7a478dc453b38e981d31331218a7","Defence planning attempts the impossible - to meet 'requirements' that can only be known in the light of events that have yet to occur. Ways in which the prospect for defence planning can be improved include (1) distinguishing the most important defence decisions, and getting them right enough; (2) developing a sufficiently flexible planning capability and dynamic military posture; (3) balancing short- and long-term investments; (4) insisting upon education in general strategic theory as a qualification for the practice of strategy; (5) appreciating that a country can afford to spend on security and defence however much it chooses politically so to do; and (6) recognising that, although defence and security are closely related, they are not synonymous."
"How China can strengthen international nuclear security",4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953442020&doi=10.1080%2f00396338.2010.494871&partnerID=40&md5=0ab70d331f8a474df97934344682bec4",[No abstract available]
"Neighbourhood Watch",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953380239&doi=10.1080%2f00396338.2010.494889&partnerID=40&md5=9bbbcf37ce421cabd96154018e55072f",[No abstract available]
"Iran: The fragile promise of the fuel-swap plan",17,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953372663&doi=10.1080%2f00396338.2010.494878&partnerID=40&md5=3c7c44c6467b553a8fdcdd52e64d6e22","Tehran's agreement in principle in October 2009 to a US proposal to exchange the bulk of Iran's stockpile of low-enriched uranium (LEU) for replacement fuel for the Tehran Research Reactor sparked a global surge of optimism. From the start, however, the deal was tangential to the main issues at stake, and it offered only temporary respite from the growing threat posed by Iran's fissile-material production programmes. Over the course of the winter, the confidence-building advantages foreseen for the deal have been replaced by still more mutual suspicion. The new version of the fuel-swap deal negotiated by the presidents of Brazil, Turkey and Iran in May 2010 is less attractive on non-proliferation grounds, but on balance will be a plus if Iran is willing to export LEU and if it agrees to stop enriching to 20%. Unfortunately, however, the deal is likely to fail over the same disparity in goals that has frustrated all negotiation efforts to date over Iran's nuclear programme. If diplomacy and strong sanctions do not persuade Iran to accept conditions that would protect against nuclear-weapons break-out, there may be other ways to keep the capability latent. But Iran's lack of restraint risks triggering military action."
"Merkel's folly",23,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77953438430&doi=10.1080%2f00396338.2010.494873&partnerID=40&md5=22529d52c1cc08dce322a366b80755a9","German Chancellor Angela Merkel's policy toward Greece's fiscal crisis, as it developed from late 2009 to April 2010, was folly in many senses of the term. It failed to anticipate the speed with which, and the extent to which, the crisis would spread. It cost much more than immediate support to Greece through its painful fiscal consolidation would have cost. And it reinforced stereotypes and prejudices that obscure the true weakness at the heart of the European Union and its single currency. But while the measures taken in early May may calm the markets temporarily they will not solve the underlying problem. So long as countries in the eurozone can borrow without market sanction, politicians will find a way to dig themselves unsustainably into debt. Threatening them with sanction is no solution either. The best way forward is to place restrictions on access to credit rather than trying to control the build-up of debt."
"Lebanon's crisis of sovereignty",4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951649959&doi=10.1080%2f00396331003764298&partnerID=40&md5=9c9e281b91075405a481aecd9ad7b73e",[No abstract available]
"Threat and anxiety in US foreign policy",4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951650731&doi=10.1080%2f00396331003764603&partnerID=40&md5=8e0ec0155f9ed3c8635bb235ed4bf8fc","Four decades ago, Karl Deutsch devised what he called 'Parkinson's Law for national security': A nation's feeling of insecurity expands directly with its power. This certainly seems to apply to the United States, which is simultaneously the strongest country in the history of the world and the most insecure of today's great powers. The threats it has recently identified in the international system, from Iraq to Hugo Chavez to terrorism, are minor compared to what most states have had to confront throughout history. As states grow in power they usually also become more materially secure; why, then, do they often seem to worry more, often about trivial matters? This essay explores the political psychology of unipolarity. Pathologies arise when irrational forces drive policymaking; presumably better policy results from more rational cost-benefit analyses."
"Google and the great firewall",5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951645265&doi=10.1080%2f00396331003764538&partnerID=40&md5=6de99c3e876ba7b3b05b0ecba837c784",[No abstract available]
"Deradicalisation, the Yemeni way",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951651172&doi=10.1080%2f00396331003764553&partnerID=40&md5=1ac7bcbdc4e049bf22d75fce2bbddf8d",[No abstract available]
"Turkey's new geopolitics",26,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951648706&doi=10.1080%2f00396331003764686&partnerID=40&md5=7f553e9eb8b5fcb3cc5849d7f47277cb","While Turkey remains tied to the West through its membership in NATO, the Council of Europe and the Organisation for Economic Cooperation and Development, under the leadership of Prime Minister Recep Tayyip Erdogan and his energetic foreign minister Ahmet Davutoglu, the country has launched a number of new foreign-policy initiatives that have increased its international stature and regional influence. Ankara's new foreign-policy activism has been particularly visible in the Middle East, where Turkey has sought to strengthen ties with its Muslim neighbours, especially Iran and Syria. Relations with Russia have improved as well, especially in the economic field, and Ankara has recently sought to mend fences with Armenia, another long-time adversary. This does not mean, however, that Turkey is turning its back on the West or that 'Econo-Islamism' (a blend of business and religious-political interests) has taken charge in Ankara. Turkey still wants, and needs, strong ties with the United States. But in future Turkey is likely to continue to broaden and diversify its foreign policy and be more hesitant to automatically follow Washington's lead Managing the US-Turkish relationship will require patience and skilful diplomacy on both sides, more so now than ever before."
"Investing for peace: The private sector and the challenges of peacebuilding",12,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951649678&doi=10.1080%2f00396331003764595&partnerID=40&md5=90de7f13155032e28c2195ac70c4d196","The new environment for peacebuilding is defined by new approaches to aid, a redefinition of the private sector to include hybrid forms of state and market activity, a new balance of emphasis between corporate social responsibility activities on the part of private-sector actors and the foundational importance of robust legal and regulatory frameworks, a structural boom in demand for natural resources, and the opportunity to have essential small and medium-sized private-sector activity catalysed by macro-finance investment in natural-resources sectors. It presents new risks as well as new opportunities and requires, above all, a new compact between the international donor community and governments in countries experiencing or emerging from conflict that seek to trade their way to sustainable development."
"Taking the field: Obama's nuclear reforms",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951626821&doi=10.1080%2f00396331003764652&partnerID=40&md5=369aefe553c1b4237422f05ded9d4df0","US President Barack Obama's nuclear-security agenda is in trouble. It is behind schedule, under-staffed, under attack and battered by some less-than-cooperative international partners. Critics of the administration have dominated the domestic public debate. But after a year of analysis, discussion and speeches, the Obama administration has reached internal consensus, lined up its nuclear initiatives, and begun organising its congressional supporters. The Obama team is finally ready to take the field. The new strategy will roll out in a tight sequence of reports, events, hearings and votes over the first half of 2010. The overall goal is to transition US nuclear policy from one still based on a Cold War strategy of massive arsenals to one suited to prevent, deter and defeat the more discrete threats of the twenty-first century."
"What is happening in Yemen?",6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951648844&doi=10.1080%2f00396331003764637&partnerID=40&md5=4482fe30d46baf13f29077299e3c607e",[No abstract available]
"The US and Iraq: Time to go home",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951629195&doi=10.1080%2f00396331003764660&partnerID=40&md5=9c89462aa4de92241fec6259ee500169","Given the record of the US occupation and the profound limitations of America's present stature, the Barack Obama administration is right to continue to draw down the American presence in Iraq. But in remembering the egregious mistakes of its predecessor the administration should not claim victory as it exits. It should not, as Vice President Joe Biden did in the midst of the de-Ba'athification crisis, claim all is well in Baghdad. A more honest and realistic approach would recognise the impossible legacy left by the Bush administration. The damage the previous administration did so much to encourage would then be minimised with the help of US allies and multilateral organisations. In short, after seven years of American occupation, it is time to go home."
"Russia's new front line",9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951695734&doi=10.1080%2f00396331003764678&partnerID=40&md5=b91ddd962f62eda911cd67da933a2ec7","Russian interest in the High North is not centred on its supposedly vast natural resources, which have been exaggerated and overhyped. Much more important are the strategic implications of climate change in the region. As regional ice retreats, a new frontline is emerging with which Kremlin strategists must contend. Potentially it will bring important new benefits to Russia, such as the logistical ability to move resources from east to west much more easily than before, but it will also open a gateway through which a hypothetical aggressor could attack the Russian mainland. The outside world needs to recognise these strategic implications of climate change and find ways of reassuring Russia."
"The Madrid bombings and global Jihadism",22,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951650581&doi=10.1080%2f00396331003764629&partnerID=40&md5=377440aca2e0b68fbd195bc9af49a8a4","Since the attacks of 11 September 2001 on New York and Washington DC there has been an ongoing controversy about whether the real threat of global terrorism is posed by al-Qaeda, its territorial extensions and affiliated organisations, or by decentralised groups inspired by, but unconnected to, such entities. The 11 March 2004 Madrid train bombings are often held up as the archetype of an independent local cell at work, and the perpetrators depicted as self-recruited, leaderless terrorists. Six years after the blasts, however, new evidence connecting some of the most notorious members of the Madrid bombing network with al-Qaeda's senior leadership, along with features of the terrorist network itself and distinctive elements of the likely strategy behind the blasts, suggest that these assumptions are misleading. Judicial documentation now fully accessible at Spain's National Court and other relevant primary or secondary sources can help us better understand what the attacks can tell us about al-Qaeda and a global terrorism in transition, as well as about the changing nature of the threat to open societies."
"The sources of Russia's insecurity",9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951627266&doi=10.1080%2f00396331003612471&partnerID=40&md5=05d815a41c5b64dc937abb7cc529dd91",[No abstract available]
"Reducing tactical nuclear weapons in Europe",4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951637229&doi=10.1080%2f00396331003612497&partnerID=40&md5=41d2618484eb3a22e6d64be5046aefd1","Control of US and Russian tactical nuclear weapons has remained an elusive goal since the end of the Cold War, despite the fact that these weapons are particularly attractive to nuclear terrorists and represent a major danger from the standpoint of early or accidental use. Meaningful progress will probably require a larger deal in which there are trade-off between US concessions on issues of interest to Russia and Russian concessions on tactical nuclear weapons. Two options merit serious consideration. The first entails the withdrawal of the small number of US tactical weapons that remain in Europe to jump-start a dialogue. The second option involves a package deal that would include Russian agreement to initiate negotiations on tactical nuclear weapons reductions in exchange for NATO agreement to discuss changes in the Conventional Forces in Europe Treaty. An optimal approach would be to launch a meaningful dialogue on tactical nuclear weapons in a separate forum, yet in parallel to the next stage of START negotiations."
"Back to the brink in Bosnia?",12,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951625456&doi=10.1080%2f00396331003612489&partnerID=40&md5=2ca271b096652e3bd62218d2e92803af",[No abstract available]
"Tracing an attack: The promise and pitfalls of microbial forensics",8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951644228&doi=10.1080%2f00396331003612521&partnerID=40&md5=58c60c9d5d5c69b40081da8702822b62",[No abstract available]
"India and China: Conflict and cooperation",15,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951638583&doi=10.1080%2f00396331003612513&partnerID=40&md5=158b7ce54c74842e71e435077f554b01","China and India are rising powers, keenly observed by the West and, increasingly, the rest of the world. Yet surprisingly for two states of such growing importance and with a rich and sometimes fractious history, their relationship seems to an outside eye largely reactive and, more broadly, adrift. China and India should be able to manage their parallel rise without generating shocks in their own continent. However, this will require careful management of bilateral irritants and potential regional crises. A more systematic dialogue process, going well beyond high-level visits, that acknowledges their differences instead of emphasising imagined similarities could lay the foundations for a better understanding of the domestic compulsions that drive each nation's foreign policy."
"Jihad and piracy in Somalia",7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951626260&doi=10.1080%2f00396331003612455&partnerID=40&md5=973c73636f767ddef4e09dda1b8b23bf",[No abstract available]
"Parsing Pyongyang's strategy",5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951626829&doi=10.1080%2f00396331003612505&partnerID=40&md5=65b6bb7177d95a437b70aa0ad177356c",[No abstract available]
"China’s New Energy-Security Debate",30,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956251875&doi=10.1080%2f00396338.2010.494881&partnerID=40&md5=72cc4bd8fa148880bea6f6a58e7470f1",[No abstract available]
"The new problem of arctic stability",17,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950781399&doi=10.1080%2f00396330903309899&partnerID=40&md5=d864ed1525b1ded33232024e11abf2dd","There is growing recognition of the new strategic significance of the Arctic. Tensions have been rising between Russia and the four other Arctic Ocean littoral states as climate change alters the region's geostrategic dynamics. There are unresolved disputes among the four NATO members, the fault lines between the NATO states on the one hand and Russia on the other appear to be deepening, and the sense of common space is under pressure. Military conflict, while not likely, cannot entirely be ruled out. There is a risk that the overall strategic objective of maintaining stability could be forgotten. Growing military activity, closer security coordination among the Western states, and inflammatory rhetoric could set off a vicious circle, jeopardising the wide-ranging collaboration put in place since the end of the Cold War."
"South America: Framing regional security",4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951682617&doi=10.1080%2f00396330903461690&partnerID=40&md5=ed6a637a09fc3440707c97042291c4c0","The August 2009 meeting of the Union of South American Nations (Unasur) in Argentina showed the difficulties in building an effective regional security institution from the top down and revealed the need for Unasur to develop a stronger institutional base. The Defence Council of Unasur, which convenes defence ministers for a more focused agenda, offers the promise of being just the right vehicle, if heads of government are willing to empower it with the means of carrying out a pragmatic agenda of consultations. A measured programme of regular meetings on agreed subjects could in time serve to cultivate a more common strategic culture among South American states and develop settled norms to govern conflict resolution. The form of Defence Council consultations would have to be closely aligned to the reality of current South American security dilemmas and responsive to the historical suspicions and current political divisions that exist."
"The future of european defence policy",5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950774248&doi=10.1080%2f00396330903309907&partnerID=40&md5=05ae37385012e261c7f714cc68dd5e24","Although ESDP has made considerable progress in the past ten years, it will soon have to make choices on its final aims: either to make the European Union a subcontractor of international security or to become the major instrument of the EU's strategic interests in the world. In any case, EU states should preserve ESDP's specific nature among other EU policies if they want to secure its future, as it would lose its value if diluted in institutional machinery incompatible with the moral and operational requirements of military engagement."
"Pakistan's war within",15,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951699345&doi=10.1080%2f00396330903465204&partnerID=40&md5=955f9eb64121ac3b06bd4c6c9fc3d7f6","Prior to 2001, Pakistan had limited experience countering domestic militants. Today, the Pakistani army still prefers to focus on a potential war with India rather than against sub-state actors. Nonetheless, there have been noted improvements since 2001, and throughout 2009 Islamabad has demonstrated increasing resolve to defeat militants challenging the writ of the state. Earlier operations such as Al Mizan revealed serious deficiencies in the ability to conduct cordon-and-search operations and to hold territory. In the later operations in Bajaur and Swat, however, the Frontier Corps and army forces showed an improved capability to clear territory and integrate operations with local tribes. But Pakistani doctrine remains inconsistent with recent population-centric innovations in counter-insurgency warfare. Pakistan's commitment to a conventional orientation and the hardware most appropriate for fighting India has poorly equipped it to deal with the burgeoning domestic threat."
"A prudent decision on missile defence",5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951679103&doi=10.1080%2f00396330903461633&partnerID=40&md5=c75dd335dd88ffab32059184fa5f3cb5",[No abstract available]
"Stopping nuclear North Korea",8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950773326&doi=10.1080%2f00396330903168782&partnerID=40&md5=ab87d2caf6b9302e23cf98da08b97441",[No abstract available]
"Nuclear power, disarmament and technological restraint",7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950777974&doi=10.1080%2f00396330903168881&partnerID=40&md5=cda1374d317fcb2864f6b5525ab2f4eb",[No abstract available]
"Living with nuclear North Korea",3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950783438&doi=10.1080%2f00396330903168790&partnerID=40&md5=c60220c885458cc5ba5cd009e97c126b",[No abstract available]
"Georgia's story: Competing narratives since the war",8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77950774010&doi=10.1080%2f00396330903168857&partnerID=40&md5=f288a038c461b40e1b644af77b22ba00","Georgia and the United States have had strong relations since the mid 1990s when Presidents Clinton and Shevardnadze forged an alliance. In recent years that relationship has become closer due to a narrative presenting Georgia as a democratic beacon and key strategic country in the region. However, this narrative is beginning to give way to an alternate narrative which suggests that Georgia is governed by an impulsive leader with authoritarian tendencies who was far too close to the Bush administration. While both of these narratives draw on elements of truth, they also lack any nuance or shades of grey. Accordingly they both lead to policy decisions that are bad for Georgia and for the United States. US policy towards Georgia needs to be viewed more soberly drawing on evidence and actions rather than competing narratives."
"Mekong dams and the perils of peace",9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951673976&doi=10.1080%2f00396330903461716&partnerID=40&md5=2c971f2e9dcbb3dcf57ebf48443cce12","A new kind of danger is looming over the six countries that share the Mekong watershed: not about ideology or territory, but about water - who controls it, how it should be used, and for whose benefit. China's economic development and geopolitical objectives pose the most important, but by no means the only, threat to human security and regional stability. To varying degrees countries in the region are also pursuing short-sighted, environmentally unsustainable development policies, sometimes in conjunction with Chinese ambitions for regional economic integration. To avoid the perils of peace in the Mekong basin, the larger powers in the region, inter-governmental organisations, aid donors and the United States all have critical roles. In particular, cooperative and equitable involvement by China and Thailand is critical, and is an area where Washington may have considerable leverage. Non-governmental organisations, development banks and international agencies should be encouraged to pursue new methods and tools to apprise leaders in Yunnan and Beijing (and, to a lesser extent, Bangkok) of the very real risk of policy blowback from their plans for the Mekong."
"A change we can believe in?",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951674416&doi=10.1080%2f00396330903168956&partnerID=40&md5=489873000b3badac8447e970bee0c7ed",[No abstract available]
